Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",mostUsedSocmed
411,1,5,12,1,4,2,42,6,3,5,5,1,1,4,4,0,4,4,6,5
89,1,11,2,2,5,2,41,7,1,5,4,2,2,2,2,1,4,1,2,11
575,1,5,32,3,1,44,42,6,1,2,2,1,1,1,0,1,0,1,5,5
492,1,11,14,3,4,2,46,3,3,5,4,1,1,3,3,4,4,4,6,11
573,1,12,22,1,1,42,46,6,1,4,2,2,3,2,1,2,1,1,5,12
298,1,5,9,3,4,2,42,6,3,5,4,1,1,3,1,3,4,0,5,5
315,1,11,14,3,4,2,42,6,1,5,5,5,3,4,5,4,3,5,6,11
68,1,13,47,4,2,13,6,4,2,2,3,2,2,2,2,2,2,2,4,13
490,1,11,19,1,4,2,42,6,1,4,4,4,3,3,3,5,5,5,6,11
493,1,5,14,1,4,2,46,3,3,4,3,4,2,4,1,1,5,5,5,5
486,1,11,24,3,1,26,46,6,1,5,3,1,1,3,3,0,2,4,6,11
522,1,5,14,3,4,2,46,6,3,4,2,4,2,4,0,2,0,0,5,5
282,1,11,12,1,4,2,46,6,3,4,2,1,0,3,4,1,3,0,5,11
489,1,5,9,1,4,2,46,8,3,5,5,3,4,5,5,3,5,5,6,5
249,1,5,14,3,4,2,42,6,1,4,3,2,2,4,4,3,5,5,6,5
522,1,11,18,3,4,2,46,3,3,5,4,4,4,5,4,3,5,5,6,11
266,1,5,4,3,4,2,42,3,3,3,4,2,2,5,5,3,4,5,5,5
17,1,13,11,1,4,2,10,6,3,3,4,2,1,4,4,1,2,3,1,13
504,1,11,63,3,6,2,46,8,3,5,3,4,1,4,3,1,4,4,6,11
512,1,5,14,1,4,2,46,3,3,4,4,4,3,4,3,4,4,3,6,5
237,1,15,2,2,5,2,28,7,2,3,2,1,1,1,3,1,1,1,4,15
489,1,5,43,3,3,45,46,3,1,5,4,1,2,5,5,5,2,4,6,5
294,1,11,43,1,3,72,46,6,1,4,4,0,0,1,1,1,0,0,5,11
549,1,12,19,1,4,2,46,6,1,3,4,3,4,3,4,3,2,0,5,12
460,1,12,19,3,6,2,46,6,1,2,3,1,1,4,4,1,1,2,5,12
141,1,13,44,2,2,32,38,7,2,4,3,4,2,5,4,3,2,3,2,13
542,1,12,23,1,1,26,46,6,1,4,4,3,4,3,4,5,3,4,5,12
545,1,12,14,3,4,2,46,6,3,3,2,2,2,1,1,0,0,0,5,12
44,1,11,12,1,4,2,52,6,1,4,4,1,3,2,2,1,3,5,1,11
317,1,12,14,3,4,2,46,6,3,5,5,1,1,5,5,1,1,1,5,12
63,1,11,14,3,1,19,59,6,3,4,4,2,2,3,4,2,2,4,1,11
176,1,17,29,2,2,34,66,7,1,4,4,2,3,2,2,2,2,4,4,17
531,1,11,18,1,4,2,46,8,1,4,3,3,1,0,0,1,1,0,5,11
548,1,12,21,1,1,40,46,6,1,3,4,3,2,2,1,1,1,0,5,12
